index,user,expected,onchain,action,txHash,status
0,0x00ce968a3678cdabfe3715101d9c7cb328135296,10.0,10.0,SKIP,,OK
1,0x0245143995ee2a729d4f5391a68726b47db5050f,100.0,100.0,SKIP,,OK
2,0x02d4c28e34b5db699480d1332599a51039cbb445,20.0,20.0,SKIP,,OK
3,0x033bcb901cbfcab1180a4888cf34ef6c032bf4b1,10.0,10.0,SKIP,,OK
4,0x041b310b7e0ab39ca0cc2ce1dd3c12e25f6a3c9e,100.0,100.0,SKIP,,OK
5,0x05762bf912b0d155ad17fae32096aa3f5b9500a6,20.0,20.0,SKIP,,OK
6,0x057dee95b5df8cbbaeb0759efd153591680de431,100.0,100.0,SKIP,,OK
7,0x0742d2fc58566f929e60bd818a10225933eb5198,20.0,20.0,SKIP,,OK
8,0x08b32b6ae25b181b166bbf207db05438bda50590,20.0,20.0,SKIP,,OK
9,0x09558ed22ff683210b415f9b91086000ce1813a6,40.0,40.0,SKIP,,OK
10,0x09ef841042e7edc5719956eeb14e0c82e849cdc2,10.0,10.0,SKIP,,OK
11,0x0c1d0d7418dc85ca3485b829f5b9075fb456d9cc,20.0,0.0,ADDED,0x3bac7782c7d02b3547b2e3d28a62595e6aac600797ed058bd518c676c4af13be,OK
12,0x0e7e8b658275fd6046357ae8e2e22be3916001b6,250.0,0.0,ADDED,0x918ec3549a34027172005626401b32e403e6e16765326f57178c81d61da20ba0,OK
13,0x0ea7403a3c84927554b2d674ea473218dff95244,20.0,0.0,ADDED,0x8902a1d4a89d5320710acb1877d9e8fd94495dbfb2137c852b9ba706524a84c8,OK
14,0x0fe5f79a2c3ae8b88b595e0036eb893f7b1ecfcd,10.0,0.0,ADDED,0x2a40f91cda9b8ec70fdafb0a5f9565f85566eb7e900f31931ad15b7598afa482,OK
15,0x111e48c3cb865032c465202e5d1d3688de2f56da,200.0,0.0,ADDED,0x04a281575482ed455ba1edef83f47d12abff7981b806276aa2302ac219d26f15,OK
16,0x115d3cc67e42f3e1c3e49b6c578e7947527e509a,10.0,0.0,ADDED,0x1bea761dc476bbbce6d541fc891d77aae862a8d6f41dfbfca822a7eefe3be915,OK
17,0x1160b72e0ed83c893847e2b0825f1e3f008d37c3,24.0,0.0,ADDED,0x256d779288bbe911c978b9c4c149894b26f08c29ba8ba84437bf039c3757ec43,OK
