index,user,expected,onchain,action,txHash,status
30,0xd3b8d78c447c64ebb1d9815abb1019ea2cba74fb,20.0,0.0,ADDED,0x3dd09cb0d687a342b763f2ccba63b0d1ec41d6eeb6dba7406860636a6205b682,OK
31,0x19d34671b0b1d94fa73a0fb117798eaae48d4d4f,10.0,0.0,ADDED,0xd09446d73db0fdccfb230ec4b166b5e7f4ec1f3565cd6975016aa960644dbba5,OK
32,0x1a2e414f6e95cadcf73ae1890796371185d32fcb,100.0,0.0,ADDED,0xed704f98ee157c6f5d7735900a83cbd0c3e2458a8a14bd16badc05f86987e450,OK
33,0x1b12211272b004ddf485dee46b3a212777ca3c77,100.0,0.0,ADDED,0x5a8d7a7facc1bb679ed36cc1dd269cb76de7e295be093ac59146468cdc699619,OK
34,0x1c1cbd5b8ce6980879d08f57da7047d9530eca11,320.0,0.0,ADDED,0xd4fc579d49ef02bb2371bfb3be75e9bafc9033df5df2e338556ebb7329842dcb,OK
35,0x1c554b4ba2e2ce82dfc2b89591a7ce259c7dcafa,20.0,0.0,ADDED,0x975c9814ed4f67a7faec6fa3cc972f177eb67f72fe59491e391f3af39169bc36,OK
36,0x1c806e07146c414ce1f0406819e02a876c1e70a2,20.0,0.0,ADDED,0xbec03bdf570c27ab448a88a535d6814ee75bdb6db36494f5938632da00dd06ef,OK
37,0x1d6edffdd6aa8ef937e25c676b808cd89b523b1c,114.0,0.0,ADDED,0xe6e3a401484b6e1f3a303d2b66508232c97aa7070300b28bee5ef0212fd3c222,OK
38,0x1e9fb8b65be4cc682bd75e499e6cb9114c4d719e,50.0,0.0,ADDED,0x217d538d9c5517e82901251d75446e705a9e60951c67ea1bb5fa21e6ef044927,OK
39,0x1ee2f2ccd2de113b4fbc0b9251680cb27a602881,20.0,0.0,ADDED,0x3016cbb81bf3490ff72ada02eef00bcf45c0e1cb00484c5f391ed83bcd766d3c,OK
40,0x2158b8d5b1479c0a5fa210f39c184e747a6981b3,10.0,0.0,ADDED,0x27a1ff2e77de5fea6f63006808d8ebd167ca49b9c75ffe3400f703a9de702f55,OK
41,0x2192bef742d21b2668db7b97a8a7b8a36604eacf,10.0,0.0,ADDED,0xb3a774fb292cb3e7828ba4224ff2ea5f949641e3b5b0b9d7a7cd9f6187808a1d,OK
