user,oldPrincipalUsd,cmsAmountUsd,finalPrincipalUsd,skippedReason
0x275ddb4b45a4326d48bd10c37542882b7ce0f914,0.0,0.0,0.0,zero-principal
0x2786c07b34ccf6631052da54d789ba11c03f8737,0.0,0.0,0.0,zero-principal
0x28c5348c3c71fa784594cad9aac1b3fe665388f1,0.0,0.0,0.0,zero-principal
0x29bd7ab23437050a21553ed1aab0f1400826f84f,0.0,0.0,0.0,zero-principal
0x29d24338cf32621b652222ea2deef4decefb7b7d,0.0,0.0,0.0,zero-principal
0x2abe2b8b4ae218d698b17b48fd86ce9a10a3dd56,0.0,0.0,0.0,zero-principal
0x2afc4e1190638de635bfa4b0dc7af33e8fcb07be,0.0,0.0,0.0,zero-principal
0x2b0ab3f3e88ee1e43185308c98909dd064f46aa4,0.0,0.0,0.0,zero-principal
0x2b1a5a6f7f6907c6a9900411a0412f156a0f0a79,0.0,0.0,0.0,zero-principal
0x2b47b6193937e0543141cd4c84a5238de936bf6d,0.0,0.0,0.0,zero-principal
0x2c5cd7b552554b586c3e940a03666497c40e6b95,0.0,0.0,0.0,zero-principal
0x2d737ee89b1a33e0ae4c50e109de1a4386825273,0.0,0.0,0.0,zero-principal
0x2e1aa8f49662d9403c047d261d654b398f6d3bb6,0.0,0.0,0.0,zero-principal
0x2eaef91c0c1abf9741a7724e5f2a28e047e0b3fa,0.0,0.0,0.0,zero-principal
0x2f117d42d4c09fb354bb6ccc7bd30d1f42d192bb,0.0,0.0,0.0,zero-principal
0x2f519488cf27a109fb15f1b966b65103031b78be,0.0,0.0,0.0,zero-principal
0x2f63fa4ee00e8805549c9d635872218e00ceee38,0.0,0.0,0.0,zero-principal
0x30ebcabf3d91cee63ac38d7aad6dffc0d8e2b4be,0.0,0.0,0.0,zero-principal
0x31a82f0b0b77f6c1eebdf6c4314375991514ed83,0.0,0.0,0.0,zero-principal
0x32342e83c08d2762b32c07080a9a6d14fde257d9,0.0,0.0,0.0,zero-principal
0x32616ea7150c8ffb26836153f8127df0abb425db,0.0,0.0,0.0,zero-principal
0x3309a2038535abe2c418a8ddf06db0301e322f71,0.0,0.0,0.0,zero-principal
0x335a4d752c726266a8cde962674770c50b2220ba,0.0,0.0,0.0,zero-principal
0x338db8cf8bcdc24c6afc5251fd2cdf0f1a877d13,0.0,0.0,0.0,zero-principal
0x33d98d39c9bff7bf6cf9f808298c148677c37c0c,0.0,0.0,0.0,zero-principal
